Part,list exported,from /Users/and,y/Documents/G,itHub/bms-hardwa,re/can-isolator-1.1.sch at 05/01,Manufacturer,MPN,FEC,Part,/2,2,0 18:47
,,,,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,,,,Qty,,,MF MPN    OC_FARNELL OC_NEWARK
2,,MTA02-100,10X02MTA,"J3, J4",AMP connector,,,,2,,,
1,,MTA04-100,10X04MTA,J2,AMP connector,,,,1,,,
1,,MTA05-100,10X05MTA,J5,AMP connector,,,,1,,,
1,,MTA07-100,10X07MTA,J1,AMP connector,,,,1,,,
2,,PINHD-1X20,1X20,"JP2, JP3",PIN HEADER,,,,2,,,
1,,PINHD-2X3,2X03,JP4,PIN HEADER,,,,1,,,
1,,PINHD-2X5/90,2X05/90,JP5,PIN HEADER,,,,1,,,
2,100k,R-EU_0207/10,0207/10,"R10, R13","RESISTOR, European symbol",Multicomp,MCF 0.25W 100K,9339078,2,,,
2,100µ,CPOL-EUE2-5,E2-5,"C4, C9","POLARIZED CAPACITOR, Europe",Panasonic,ECA1CAM101X,8767122,2,an,s,ymbol
4,10k,R-EU_0207/10,0207/10,"R5, R6, R8, R9","RESISTOR, European symbol",Multicomp,MCF 0.25W 10K,9339060,4,,,
1,1N4148DO35-7,1N4148DO35-7,DO35-7,D1,DIODE,Multicomp,1N4148 (DO-35),2675146,1,,,
2,1n,C-EU025-024X044,C025-024X044,"C1, C2","CAPACITOR, European symbol",Vishay,K102K15X7RF5TL2,2860086,2,,,
5,1µ,C-EU025-024X044,C025-024X044,"C3, C5, C7, C8,","C10 CAPACITOR, European symbol",Vishay,K105Z20Y5VF5TL2,2860104,5,,,
1,20p,C-EU025-024X044,C025-024X044,C6,"CAPACITOR, European symbol",Vishay,K220J15C0GF53L2,1141760,1,,,
1,270,R-EU_0207/10,0207/10,R7,"RESISTOR, European symbol",Multicomp,MCF 0.25W 270R,9339353,1,,,
3,3k3,R-EU_0207/10,0207/10,"R1, R2, R11","RESISTOR, European symbol",Multicomp,MCF 0.25W 3k3,9339426,3,,,
2,4N25M,4N25M,DIL06,"OK1, OK2",General Purpose 6-Pin Phototransistor Optocouplers,On-Semi,4N25-M,1021349,2,ra,ns,istor Optocouplers     4N25-M 1021349    98K9084
2,4k7,R-EU_0207/10,0207/10,"R3, R4","RESISTOR, European symbol",Multicomp,MCF 0.25W 4K7,9339540,2,,,
3,BC548,BC548,TO92-EBC,"Q2, Q3, Q4",NPN Transistor,On-Semi,BC548BTA,2985391,3,,,
1,FRS1B,FRS1B,FRS1B,K1,RELAY,,,,,,,unknown    unknown
1,MCP2562P,MCP2551P,DIL08,IC1,CAN transceiver,Microchip,MCP2551-I/P,1292240,1,,,
1,TR10S05,R-78C5.0-1.0,SIP3,DC1,INNOLINE DC/DC-Converter 1.0,XP Power,TR10S05,2708277,1,A,MP,SIP3 Single Output